date,dairycpi,mpfecpi,fvcpi
1/1/1967,39.9,38.1,32.8
2/1/1967,39.8,38,32.6
3/1/1967,39.6,37.8,32.6
4/1/1967,39.6,37.5,32.1
5/1/1967,39.7,37.4,32.2
6/1/1967,39.9,38.1,32.8
7/1/1967,39.9,38,33.7
8/1/1967,40,38.2,34.1
9/1/1967,40.2,38.3,33.7
10/1/1967,40.4,38.2,34
11/1/1967,40.4,38.1,34.3
12/1/1967,40.5,38.2,34.7
1/1/1968,40.6,37.9,35.4
2/1/1968,40.6,38.3,35.6
3/1/1968,40.7,38.5,35.7
4/1/1968,40.7,38.7,36
5/1/1968,41.2,38.8,36.1
6/1/1968,41.4,38.9,35.5
7/1/1968,41.5,38.9,35.8
8/1/1968,41.6,39.1,35.6
9/1/1968,41.7,39.6,35.8
10/1/1968,41.9,40.1,36.5
11/1/1968,42,39.9,36.4
12/1/1968,42,40,36.7
1/1/1969,42,40.3,36.3
2/1/1969,42.1,40.5,35.5
3/1/1969,42.2,40.3,36.1
4/1/1969,42.1,41.1,35.9
5/1/1969,42.4,41.5,36
6/1/1969,42.5,43,35.7
7/1/1969,42.6,43.3,35.8
8/1/1969,42.8,43.6,36.1
9/1/1969,43,43.9,36.9
10/1/1969,43.1,43.9,36.7
11/1/1969,43.3,44.6,37.3
12/1/1969,43.7,45.1,38.4
1/1/1970,44,45.3,37.5
2/1/1970,44.2,45.6,37.7
3/1/1970,44.4,45,37.7
4/1/1970,44.4,44.8,37.7
5/1/1970,44.5,44.9,37.9
6/1/1970,44.6,44.5,38
7/1/1970,44.8,44.7,37.2
8/1/1970,44.8,44.2,37.4
9/1/1970,45,44.2,38.2
10/1/1970,45.2,44.1,38.3
11/1/1970,45.4,43.8,37.7
12/1/1970,45.4,43.7,37.8
1/1/1971,45.6,43.3,36.9
2/1/1971,45.6,43,37.7
3/1/1971,45.7,43.5,38.5
4/1/1971,45.8,43.8,39.4
5/1/1971,46,44.2,39.5
6/1/1971,46.3,44.5,40
7/1/1971,46.4,44.3,40.1
8/1/1971,46.4,44.3,40.2
9/1/1971,46.4,44.1,40
10/1/1971,46.4,44.6,40.2
11/1/1971,46.4,44.8,40.6
12/1/1971,46.4,45.4,42.6
1/1/1972,46.6,45.6,40.9
2/1/1972,46.8,47,41.5
3/1/1972,46.9,47.2,40.3
4/1/1972,47,47.2,40
5/1/1972,46.9,47.3,40.4
6/1/1972,46.8,47.6,40.7
7/1/1972,46.7,48.4,41
8/1/1972,46.6,48.2,41.7
9/1/1972,46.8,48.5,43.1
10/1/1972,46.8,49.2,43.4
11/1/1972,47.1,49.7,43.6
12/1/1972,47.3,50.2,43.7
1/1/1973,47.6,52.2,44.2
2/1/1973,48.4,53.9,44.5
3/1/1973,48.6,57.1,45.4
4/1/1973,48.7,58.9,46.3
5/1/1973,49.3,59.6,47.1
6/1/1973,49.6,60.1,48.4
7/1/1973,49.6,59.7,49.1
8/1/1973,50.6,69.5,49.6
9/1/1973,52.1,67.6,47.1
10/1/1973,54.9,64.7,48.3
11/1/1973,56.5,63.9,49.5
12/1/1973,58,63.9,49.9
1/1/1974,58.5,65,50.6
2/1/1974,59.7,66.4,52
3/1/1974,60.6,65.2,53.8
4/1/1974,61.5,62.9,53.3
5/1/1974,61.8,60.5,57.8
6/1/1974,61.5,58.8,58.4
7/1/1974,60.6,57.6,57.2
8/1/1974,60.3,60.2,54.8
9/1/1974,60.4,62,55.9
10/1/1974,60.7,62.1,56.4
11/1/1974,61.1,62.6,56.7
12/1/1974,62.1,62.7,55.5
1/1/1975,62.1,62.3,55.4
2/1/1975,62.2,62,55.6
3/1/1975,62.1,61.6,55.2
4/1/1975,61.9,62.1,54.6
5/1/1975,61.4,64,55
6/1/1975,61.3,66.4,56.6
7/1/1975,61.3,69.3,60.2
8/1/1975,61.7,69.8,58.1
9/1/1975,62.5,70.7,58
10/1/1975,63.7,72,57.4
11/1/1975,65.1,72,58.1
12/1/1975,66.2,71.8,59.4
1/1/1976,67.3,70.8,58.6
2/1/1976,67.4,69.1,57.7
3/1/1976,67.1,68,57.3
4/1/1976,67.1,67.2,58.4
5/1/1976,66.9,68.2,57.5
6/1/1976,67.1,68.5,56.6
7/1/1976,67.2,68.7,56.8
8/1/1976,67.6,68.1,58.2
9/1/1976,68.4,67.9,58.8
10/1/1976,69.1,67.1,60.5
11/1/1976,68.7,66.3,60.2
12/1/1976,68.5,66,60.2
1/1/1977,68.5,66.2,59.9
2/1/1977,68.4,67.1,64.8
3/1/1977,68.5,66.8,65.1
4/1/1977,68.5,66.6,66.4
5/1/1977,69.2,66.7,63.7
6/1/1977,69.7,66.9,63.4
7/1/1977,69.6,67.7,62.6
8/1/1977,70,68,62.7
9/1/1977,70.1,68.2,62.6
10/1/1977,70.5,68,63
11/1/1977,70.6,68.7,65
12/1/1977,70.7,68.3,66
1/1/1978,71.1,69.6,66.1
2/1/1978,71.5,71.3,66.3
3/1/1978,71.7,73,67.5
4/1/1978,72.6,75.5,69.3
5/1/1978,73.4,77.4,72
6/1/1978,73.9,80.2,72.3
7/1/1978,74.1,79.7,73.1
8/1/1978,74.4,79.8,72.4
9/1/1978,75.5,79.6,73.4
